Inputs;Outputs;Valor
1GZedsrPqRVRv8vu3pjT9dSksAqiN2SuTN;18AJ2qB79VHfgZ5pVxjQ9nfdtgWBk5fmp1;159408.2836
1GZedsrPqRVRv8vu3pjT9dSksAqiN2SuTN;18AJ2qB79VHfgZ5pVxjQ9nfdtgWBk5fmp1;723725.0542
3FnzRfp4c3mirGyaS4XY4XR3wroBgYpL71;bc1q9h2f7k6r5g96rfw5gfavm3pdnut76u7tfy5n5p;600000
3FnzRfp4c3mirGyaS4XY4XR3wroBgYpL71;32sK2gHtQaozHQ2YpBvvv7SdXmzFBAFm4r;603100
3FnzRfp4c3mirGyaS4XY4XR3wroBgYpL71;35DEPc9wXDMVrtCKVizQNYg1LDKodHo8o7;2910100
3FnzRfp4c3mirGyaS4XY4XR3wroBgYpL71;bc1qmpggh028rh6y30cxexps9jmea5t8p4reye3yvc;500000
3FnzRfp4c3mirGyaS4XY4XR3wroBgYpL71;bc1q9tedulws4uhvfvyjjl5f2cmew0wnmk8lf9fggq;9994000
3FnzRfp4c3mirGyaS4XY4XR3wroBgYpL71;bc1q5732z8lxeqccuux7fvwl28vmpc75sh9mqxplaf;1170197
3FnzRfp4c3mirGyaS4XY4XR3wroBgYpL71;3JodN7GmkHdPgKj9G7HCkn9NDLhrcWCjVN;14714
19ZWedGXmFJBoo64e3S7WmG6vtduDhpRvJ;16mkJKAQ1oKRBEdUutZehAb9xQVQcdSzHi;90958.81006
19ZWedGXmFJBoo64e3S7WmG6vtduDhpRvJ;16mkJKAQ1oKRBEdUutZehAb9xQVQcdSzHi;501640.9979
19ZWedGXmFJBoo64e3S7WmG6vtduDhpRvJ;16mkJKAQ1oKRBEdUutZehAb9xQVQcdSzHi;502317.0303
19ZWedGXmFJBoo64e3S7WmG6vtduDhpRvJ;16mkJKAQ1oKRBEdUutZehAb9xQVQcdSzHi;502621.5944
19ZWedGXmFJBoo64e3S7WmG6vtduDhpRvJ;16mkJKAQ1oKRBEdUutZehAb9xQVQcdSzHi;504152.4033
19ZWedGXmFJBoo64e3S7WmG6vtduDhpRvJ;16mkJKAQ1oKRBEdUutZehAb9xQVQcdSzHi;505444.5539
19ZWedGXmFJBoo64e3S7WmG6vtduDhpRvJ;16mkJKAQ1oKRBEdUutZehAb9xQVQcdSzHi;505531.4295
19ZWedGXmFJBoo64e3S7WmG6vtduDhpRvJ;16mkJKAQ1oKRBEdUutZehAb9xQVQcdSzHi;508202.6063
